headline,source,publish_date,year,url,source_split
Best Buy’s 2024 holiday sales: What to know,NBC,2024-09-18,2024,https://www.nbcnews.com/select/shopping/best-buy-holiday-sales-rcna171683,starter
Sailing away? Israeli leaders have discussed an Arafat-style exit for Hamas leader Yahya Sinwar,NBC,2024-02-07,2024,https://www.nbcnews.com/news/world/israeli-leaders-discussed-arafat-style-ship-exit-hamas-leader-rcna137295,starter
"Mark Meadows, Rudy Giuliani and Arizona 'fake electors' charged with state crimes",NBC,2024-04-24,2024,https://www.nbcnews.com/politics/2024-election/trumps-2020-fake-electors-charged-state-crimes-arizona-rcna149214,starter
Whoopi Goldberg rips cancel culture targeting Pepé Le Pew: 'I don't know why you've got to erase everything',FoxNews,2021-03-09,2021,https://www.foxnews.com/media/whoopi-goldberg-cancel-culture-pepe-le-pew,starter
Rural travel destinations where you can unplug and have fun this summer,FoxNews,2023-07-15,2023,https://www.foxnews.com/lifestyle/rural-travel-destinations-unplug-fun-summer,starter
"At DNC, my party is shining a hopeful spotlight on America. At RNC it was just on Trump",FoxNews,2024-08-21,2024,https://www.foxnews.com/opinion/dnc-party-shining-hopeful-spotlight-america-rnc-just-trump,starter
Elon Musk names ex-NBCUniversal ad chief Linda Yaccarino new Twitter CEO,NBC,2023-05-12,2023,https://www.nbcnews.com/tech/tech-news/nbcuniversal-ad-chief-leaves-twitter-rcna84128,starter
Critics accuse Buttigieg of 'playing politics' after comments linking turbulence to climate change,FoxNews,2024-05-30,2024,https://www.foxnews.com/politics/republican-buttigieg-playing-politics-comments-turbulence-climate-change,starter
"JD Vance roasts Harris on Wisconsin tarmac for avoiding press, calls Air Force 2 his 'future plane'",FoxNews,2024-08-07,2024,https://www.foxnews.com/politics/jd-vance-roasts-harris-wisconsin-tarmac-avoiding-press-calls-air-force-2-his-future-plane.print,starter
"Israel says top Hamas Rafah brigade ‘dismantled’ on Philadelphi Corridor, 2,000 terrorists killed",FoxNews,2024-09-13,2024,https://www.foxnews.com/world/israel-says-top-hamas-rafah-brigade-dismantled-philadelphi-corridor-2000-terrorists-killed,starter
How to clean and season a cast iron skillet,NBC,2024-09-24,2024,https://www.nbcnews.com/select/shopping/how-to-clean-cast-iron-skillet-rcna172345,starter
"Lil Nas X, Dolly Parton, Lena Waithe to appear at virtual GLAAD Media Awards",NBC,2020-07-10,2020,https://www.nbcnews.com/feature/nbc-out/lil-nas-x-dolly-parton-lena-waithe-appear-virtual-glaad-n1233424,starter
'Tough call': Atlanta voters split on who will win Georgia,FoxNews,2024-10-08,2024,https://www.foxnews.com/politics/tough-call-atlanta-voters-split-who-win-georgia.print,starter
Meet the American who inspired the nation in two world wars: Christian soldier Sgt. Alvin York,FoxNews,2022-11-11,2022,https://www.foxnews.com/lifestyle/meet-american-who-inspired-nation-two-world-wars-christian-soldier-sgt-alvin-york.print,starter
"Five more House Democrats call on Biden to drop out, third US senator",FoxNews,2024-07-19,2024,https://www.foxnews.com/politics/5-more-house-democrats-call-biden-drop-out#&_intcmp=fnhpbt5,starter
"Israel-Hamas war: ICJ stops short of ordering cease-fire, tells Israel to prevent acts of genocide in Gaza",NBC,2024-01-26,2024,https://www.nbcnews.com/news/live-blog/israel-hamas-war-live-updates-rcna135801,starter
Mike Johnson demands Biden 'immediately release' any withheld aid to Israel as Middle East tension grows,FoxNews,2024-08-06,2024,https://www.foxnews.com/politics/mike-johnson-demands-biden-immediately-release-any-withheld-aid-israel-middle-east-tension-grows.print,starter
This year's Democratic playbook features a lot of football,NBC,2024-09-05,2024,https://www.nbcnews.com/politics/2024-election/democratic-playbook-football-tim-walz-rcna168284,starter
Abortion rights amendments qualify for the ballot in Colorado and South Dakota,NBC,2024-05-17,2024,https://www.nbcnews.com/politics/2024-election/abortion-rights-ballot-measure-south-dakota-rcna152746,starter
"October reader favorites: Loofahs, spoons and more",NBC,2023-10-31,2023,https://www.nbcnews.com/select/shopping/october-bestsellers-cerave-oribe-ouai-ncna1300437,starter
The 11 best smart TVs,NBC,2019-11-28,2019,https://www.nbcnews.com/select/shopping/smart-tv-buying-guide-ncna1092911,starter
