headline,source,publish_date,year,url,source_split
"David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89",FoxNews,2022-08-08,2022,https://www.foxnews.com/us/david-mccullough-american-historian-presidential-medal-freedom-recipient-dies,starter
Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights,FoxNews,2022-03-14,2022,https://www.foxnews.com/politics/lorie-smith-web-designer-free-speech,starter
Simon Cowell reveals how his son changed his judging style: ‘I have much more empathy’,FoxNews,2022-08-24,2022,https://www.foxnews.com/entertainment/simon-cowell-reveals-son-changed-judging-style-empathy,starter
Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers,FoxNews,2022-10-31,2022,https://www.foxnews.com/lifestyle/walking-dead-syndrome-rare-conditions-baffle-doctors-researchers,starter
"The Doors' Jim Morrison had ‘a fascination with death’ before passing away at 27, bandmate Robby Krieger says",FoxNews,2021-10-12,2021,https://www.foxnews.com/entertainment/jim-morrison-the-doors-memoir-robby-krieger,starter
"Pope Emeritus Benedict XVI dead at 95, Vatican says",FoxNews,2022-12-31,2022,https://www.foxnews.com/world/pope-emeritus-benedict-xvi-dead-95-vatican-says,starter
Sheldon Whitehouse doesn't denounce super-exclusive beach club his family belongs to,FoxNews,2021-06-21,2021,https://www.foxnews.com/politics/sheldon-whitehouse-doesnt-denounce-all-white-beach-club-his-family-belongs-to,starter
Fox Nation to debut new American history series hosted by Kelsey Grammer,FoxNews,2022-04-06,2022,https://www.foxnews.com/media/fox-nation-debut-american-history-series-kelsey-grammer,starter
"The best vegetables for your health, according to nutritionists",FoxNews,2022-06-17,2022,https://www.foxnews.com/lifestyle/best-vegetables-for-health-nutritionists,starter
America's 'unique' Thanksgiving stuffing preferences state-by-state,FoxNews,2022-11-17,2022,https://www.foxnews.com/lifestyle/americas-unique-thanksgiving-stuffing-preferences-state-by-state,starter
"Black Lives Matter blames US, praises Cuban regime, social media erupts",FoxNews,2021-07-15,2021,https://www.foxnews.com/politics/black-lives-matter-blames-us-praises-cuban-regime-social-media-erupts,starter
Remains of Kansas Priest Who Died in Korean War Identified,FoxNews,2021-03-05,2021,https://www.foxnews.com/us/remains-of-kansas-priest-who-died-in-korean-war-identified.print,starter
Billy Joel unveils 50-pound weight loss at Madison Square Garden following back surgery,FoxNews,2021-11-09,2021,https://www.foxnews.com/entertainment/billy-joel-weight-loss-madison-square-garden,starter
Hilary Duff lands ‘How I Met Your Father’ series sequel role for Hulu,FoxNews,2021-04-21,2021,https://www.foxnews.com/entertainment/hilary-duff-how-i-met-your-father-series-sequel-hulu,starter
American women players settle suit vs. US Soccer for $24M,FoxNews,2022-02-22,2022,https://www.foxnews.com/sports/american-women-players-settle-suit-vs-us-soccer-for-24m,starter
