model,train_year,eval_year,gap,n_train,n_eval,name,accuracy,f1_macro,f1_fox,f1_nbc,precision_fox,recall_fox,precision_nbc,recall_nbc,n,experiment,train_until
classical_v2,2020.0,2020,0.0,118.0,118.0,classical_v2_2020_to_2020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,118,,
classical_v2,2020.0,2021,1.0,118.0,208.0,classical_v2_2020_to_2021,0.7019230769230769,0.6123136123136124,0.42592592592592593,0.7987012987012987,0.6216216216216216,0.323943661971831,0.7192982456140351,0.8978102189781022,208,,
classical_v2,2020.0,2022,2.0,118.0,353.0,classical_v2_2020_to_2022,0.5495750708215298,0.49712847069785776,0.33472803347280333,0.6595289079229122,0.7843137254901961,0.2127659574468085,0.5099337748344371,0.9333333333333333,353,,
classical_v2,2020.0,2023,3.0,118.0,644.0,classical_v2_2020_to_2023,0.6226708074534162,0.5575910235859858,0.3879093198992443,0.7272727272727273,0.6936936936936937,0.2692307692307692,0.6078799249530957,0.9050279329608939,644,,
classical_v2,2020.0,2024,4.0,118.0,2343.0,classical_v2_2020_to_2024,0.5228339735381989,0.5069140020871892,0.4183142559833507,0.5955137481910275,0.7349177330895795,0.2923636363636364,0.45824053452115815,0.8502066115702479,2343,,
classical_v2,2021.0,2020,-1.0,208.0,118.0,classical_v2_2021_to_2020,0.7966101694915254,0.7637637637637638,0.6756756756756757,0.8518518518518519,0.5813953488372093,0.8064516129032258,0.92,0.7931034482758621,118,,
classical_v2,2021.0,2021,0.0,208.0,208.0,classical_v2_2021_to_2021,0.9903846153846154,0.9893790849673203,0.9861111111111112,0.9926470588235294,0.9726027397260274,1.0,1.0,0.9854014598540146,208,,
classical_v2,2021.0,2022,1.0,208.0,353.0,classical_v2_2021_to_2022,0.7507082152974505,0.7501287001287001,0.7380952380952381,0.7621621621621621,0.8378378378378378,0.6595744680851063,0.6878048780487804,0.8545454545454545,353,,
classical_v2,2021.0,2023,2.0,208.0,644.0,classical_v2_2021_to_2023,0.6754658385093167,0.6605491398725383,0.5893909626719057,0.7317073170731707,0.672645739910314,0.5244755244755245,0.6769596199524941,0.7960893854748603,644,,
classical_v2,2021.0,2024,3.0,208.0,2343.0,classical_v2_2021_to_2024,0.6261203585147247,0.6257570674213029,0.6374172185430463,0.6140969162995594,0.7396733909702209,0.56,0.5353302611367128,0.7200413223140496,2343,,
classical_v2,2022.0,2020,-2.0,353.0,118.0,classical_v2_2022_to_2020,0.6610169491525424,0.6463889721306564,0.574468085106383,0.7183098591549296,0.42857142857142855,0.8709677419354839,0.9272727272727272,0.5862068965517241,118,,
classical_v2,2022.0,2021,-1.0,353.0,208.0,classical_v2_2022_to_2021,0.7788461538461539,0.7741478613917477,0.7415730337078652,0.8067226890756303,0.616822429906542,0.9295774647887324,0.9504950495049505,0.7007299270072993,208,,
classical_v2,2022.0,2022,0.0,353.0,353.0,classical_v2_2022_to_2022,0.9886685552407932,0.9886202450032238,0.9893617021276596,0.9878787878787879,0.9893617021276596,0.9893617021276596,0.9878787878787879,0.9878787878787879,353,,
classical_v2,2022.0,2023,1.0,353.0,644.0,classical_v2_2022_to_2023,0.7111801242236024,0.7105520061087001,0.7240356083086054,0.6970684039087948,0.6288659793814433,0.8531468531468531,0.8359375,0.5977653631284916,644,,
classical_v2,2022.0,2024,2.0,353.0,2343.0,classical_v2_2022_to_2024,0.657703798548869,0.6394637676710311,0.7205574912891987,0.5583700440528634,0.691638795986622,0.752,0.597877358490566,0.5237603305785123,2343,,
classical_v2,,2023,,,,classical_v2_le2022_eval2023,0.7515527950310559,0.748915639163702,0.7231833910034602,0.7746478873239436,0.7157534246575342,0.7307692307692307,0.78125,0.7681564245810056,644,fixed_train_sliding_eval,2022.0
classical_v2,,2024,,,,classical_v2_le2022_eval2024,0.6670934699103713,0.661278125810876,0.7056603773584905,0.6168958742632613,0.7333333333333333,0.68,0.5880149812734082,0.6487603305785123,2343,fixed_train_sliding_eval,2022.0
classical_v2,,2025,,,,classical_v2_le2022_eval2025,0.9230769230769231,0.8115942028985508,0.6666666666666666,0.9565217391304348,0.5,1.0,1.0,0.9166666666666666,26,fixed_train_sliding_eval,2022.0
classical_v2,,2026,,,,classical_v2_le2022_eval2026,0.8918918918918919,0.8238095238095238,0.7142857142857143,0.9333333333333333,1.0,0.5555555555555556,0.875,1.0,37,fixed_train_sliding_eval,2022.0
